timestamp,sn,text,EST
2019-05-23 03:46:13,PixelGamer_,so tonight thanks to the #AmazingRace I learned that silent raves are a thing and all I can think is the one scene… https://t.co/0rMTkDiYWs,2019-05-22 22:46:13
2019-05-23 03:45:53,Luvzparanoid,RT @BB_timc: I need Team Reilly to stay #AmazingRace,2019-05-22 22:45:53
2019-05-23 03:45:33,sjn1922,"@AmazingRaceCBS Four team neck to neck for 1st place, WHAT!!! #AmazingRace",2019-05-22 22:45:33
2019-05-23 03:45:28,JessicaRunion2,"RT @tyleroakley: tonight on #AmazingRace, the tethered version of me is unleashed in dubai https://t.co/d8rr4yedVL",2019-05-22 22:45:28
2019-05-23 03:44:57,SaltwaterVal,"I'm loving this  @AmazingRaceCBS where they are actually encouraging one another and giving ""shout outs"" of positiv… https://t.co/9rBDU4OVFd",2019-05-22 22:44:57
2019-05-23 03:44:35,MarisolT1971,RT @AmazingRaceCBS: Get excited! Another episode of The #AmazingRace comes on NOW! https://t.co/qKyCFhsluL,2019-05-22 22:44:35
2019-05-23 03:44:27,Jordanzahhutt,So stoked my favourite team is still going strong! Let’s go boys! #AmazingRace #TeamTylerandKorey,2019-05-22 22:44:27
2019-05-23 03:44:03,4realseotraffic,https://t.co/SxVdmsm3AD #AmazingRace,2019-05-22 22:44:03
2019-05-23 03:43:29,westcoast_246,The people in Uganda seems really friendly #AmazingRace,2019-05-22 22:43:29
2019-05-23 03:43:21,thearashow,RT @ShawnPooley: That Challenge in Dubai with the #AmazingRace beat reminds me of the Amazing Race Rap song @thearashow did in 2005 between…,2019-05-22 22:43:21
2019-05-23 03:43:11,sjn1922,@AmazingRaceCBS Team Torey Jumping to the beat #AmazingRace,2019-05-22 22:43:11
2019-05-23 03:42:44,hive_babes,I just finished tonights episode of amazing race and I was crying the same time Brittney was crying... You would th… https://t.co/WQ6rOqHNBV,2019-05-22 22:42:44
2019-05-23 03:42:42,SuperCoolCarly,"RT @NotYerAvgChick: Floyd dropped his crepe! 😄

#TeamFun @AmazingRaceCBS #AmazingRace https://t.co/hElwVsiY2T",2019-05-22 22:42:42
2019-05-23 03:42:15,sjn1922,@AmazingRaceCBS Team Fun know to pick THE SILENT CHALLENGE!!! #AmazingRace,2019-05-22 22:42:15
2019-05-23 03:42:11,riikabob,LOL the dinosaur costumes! I'm howling 😂😂 #AmazingRace,2019-05-22 22:42:11
